Gender,GivenName,Surname,Birthday,StreetAddress,EmailAddress,Centimeters,FeetInches
male,Jacques,Harquin,7/23/1980,"1 rue Cazade",JacquesHarquin@einrot.com,188,"6' 2"""
male,Roch,Renaud,3/6/1999,"15 rue de la Hulotais",RochRenaud@rhyta.com,182,"6' 0"""
female,Sophie,Coulombe,12/14/1935,"20 cours Franklin Roosevelt",SophieCoulombe@einrot.com,154,"5' 1"""
male,Thomas,Guibord,3/18/1984,"96 Place du Jeu de Paume",ThomasGuibord@armyspy.com,187,"6' 2"""
female,Juliette,Desnoyers,12/29/1948,"35 Avenue des Pr'es",JulietteDesnoyers@superrito.com,166,"5' 5"""
male,Courtland,Neufville,5/20/1998,"37 rue du Président Roosevelt",CourtlandNeufville@armyspy.com,186,"6' 1"""
female,Agate,DuLin,12/9/1985,"32 route de Lyon",AgateDuLin@armyspy.com,160,"5' 3"""
female,Orva,Mercure,1/8/1975,"36 rue Sadi Carnot",OrvaMercure@einrot.com,157,"5' 2"""
female,Brunella,Bourgeau,11/6/1957,"9 Boulevard de Normandie",BrunellaBourgeau@superrito.com,158,"5' 2"""
male,Bayard,Bazinet,5/15/1947,"63 rue Léon Dierx",BayardBazinet@superrito.com,183,"6' 0"""
male,Ferragus,Salmons,11/1/1950,"60 Quai des Belges",FerragusSalmons@dayrep.com,166,"5' 5"""
female,Slainie,Raymond,7/12/1931,"20 rue Clement Marot",SlainieRaymond@rhyta.com,157,"5' 2"""
female,Amitee,Lussier,8/26/1969,"55 Rue Roussy",AmiteeLussier@fleckens.hu,166,"5' 5"""
female,Albracca,Lamoureux,11/19/1934,"78 Faubourg Saint Honoré",AlbraccaLamoureux@fleckens.hu,157,"5' 2"""
male,Thierry,L'Hiver,3/25/1984,"64 rue des Chaligny",ThierryLHiver@teleworm.us,188,"6' 2"""
male,Chandler,Artois,8/20/1970,"43 rue Cazade",ChandlerArtois@cuvox.de,186,"6' 1"""
female,Patricia,Asselin,2/11/1964,"70 Rue Marie De Médicis",PatriciaAsselin@dayrep.com,155,"5' 1"""
female,Avril,Brochu,7/7/1994,"24 Avenue De Marlioz",AvrilBrochu@fleckens.hu,157,"5' 2"""
female,Ancelote,Abril,1/8/1961,"45 rue Clement Marot",AnceloteAbril@armyspy.com,158,"5' 2"""
female,Marjolaine,Tougas,7/30/1961,"43 rue du Paillle en queue",MarjolaineTougas@cuvox.de,153,"5' 0"""
male,Bevis,Gaillou,7/19/1986,"57 rue Michel Ange",BevisGaillou@armyspy.com,184,"6' 0"""
female,Clarice,Duperré,4/10/1949,"46 boulevard d'Alsace",ClariceDuperre@superrito.com,160,"5' 3"""
female,Dorene,Fecteau,3/23/1982,"75 rue des Nations Unies",DoreneFecteau@superrito.com,156,"5' 1"""
female,Brice,Cartier,6/13/1981,"10 Square de la Couronne",BriceCartier@einrot.com,155,"5' 1"""
female,Josephe,Garnier,5/27/1968,"48 rue Isambard",JosepheGarnier@rhyta.com,155,"5' 1"""
male,Aubrey,Bizier,12/29/1966,"27 Rue Frédéric Chopin",AubreyBizier@gustr.com,183,"6' 0"""
female,Victoire,Bourgouin,4/19/1994,"94 Rue de Verdun",VictoireBourgouin@einrot.com,154,"5' 1"""
female,Bernadette,Gaillard,10/18/1994,"9 rue de la Hulotais",BernadetteGaillard@armyspy.com,155,"5' 1"""
female,Françoise,Auclair,4/6/1985,"85 Quai des Belges",FrancoiseAuclair@cuvox.de,160,"5' 3"""
male,Archard,Masson,3/15/1971,"17 rue des six frères Ruellan",ArchardMasson@teleworm.us,188,"6' 2"""
female,Juliette,Charrette,10/22/2001,"40 rue Bonneterie",JulietteCharrette@gustr.com,152,"5' 0"""
male,Gaetan,Maheu,8/13/1933,"44 rue Goya",GaetanMaheu@fleckens.hu,163,"5' 4"""
female,Yolande,Desrosiers,5/31/1984,"11 Rue du Palais",YolandeDesrosiers@einrot.com,154,"5' 1"""
female,Mignonette,Batard,11/16/1953,"52 Place Charles de Gaulle",MignonetteBatard@rhyta.com,157,"5' 2"""
male,Ranger,Despins,10/23/1985,"16 rue Pierre De Coubertin",RangerDespins@dayrep.com,189,"6' 2"""
female,Durandana,Ayot,1/30/1967,"6 Rue Marie De Médicis",DurandanaAyot@gustr.com,160,"5' 3"""
male,Bruce,Davignon,9/20/1934,"53 rue des Lacs",BruceDavignon@fleckens.hu,163,"5' 4"""
female,Catherine,Loiselle,6/29/1971,"80 rue Gouin de Beauchesne",CatherineLoiselle@jourrapide.com,161,"5' 3"""
male,Ernest,Langelier,11/14/1956,"89 avenue Voltaire",ErnestLangelier@rhyta.com,182,"6' 0"""
female,Prunella,Généreux,3/16/1998,"41 Chemin Challet",PrunellaGenereux@cuvox.de,166,"5' 5"""
male,Neville,Meunier,5/12/1949,"94 Chemin Des Bateliers",NevilleMeunier@teleworm.us,183,"6' 0"""
female,Aiglentina,Lécuyer,5/29/1942,"44 rue de Geneve",AiglentinaLecuyer@einrot.com,152,"5' 0"""
female,Pénélope,Labrosse,12/7/1957,"30 rue Saint Germain",PenelopeLabrosse@einrot.com,158,"5' 2"""
female,Flordelis,Landry,9/1/1981,"31 rue des six frères Ruellan",FlordelisLandry@rhyta.com,160,"5' 3"""
female,Zurie,Corbin,12/2/1945,"11 rue de Penthièvre",ZurieCorbin@cuvox.de,158,"5' 2"""
female,Millicent,Provencher,5/27/1934,"84 rue Adolphe Wurtz",MillicentProvencher@armyspy.com,152,"5' 0"""
female,Kari,Laprise,1/22/1957,"97 Rue Frédéric Chopin",KariLaprise@superrito.com,152,"5' 0"""
female,Maurelle,Audibert,8/25/1995,"65 avenue Jules Ferry",MaurelleAudibert@rhyta.com,163,"5' 4"""
female,Océane,Lacasse,5/24/1955,"48 Rue Roussy",OceaneLacasse@gustr.com,156,"5' 1"""
male,Algernon,Veilleux,3/15/1978,"41 rue de l'Aigle",AlgernonVeilleux@dayrep.com,182,"6' 0"""
female,Magnolia,Blondlot,2/24/1949,"46 Rue Bonnet",MagnoliaBlondlot@jourrapide.com,155,"5' 1"""
female,Dorene,Poirier,10/20/1970,"91 Quai des Belges",DorenePoirier@gustr.com,160,"5' 3"""
female,Danielle,Vallée,6/22/1957,"67 rue des Chaligny",DanielleVallee@dayrep.com,152,"5' 0"""
female,Bernadette,Masson,11/9/1956,"3 boulevard de Prague",BernadetteMasson@superrito.com,157,"5' 2"""
female,Marthe,Rivière,1/16/1977,"22 rue Marie de Médicis",MartheRiviere@superrito.com,166,"5' 5"""
female,Odelette,Josseaume,1/6/1956,"90 Square de la Couronne",OdeletteJosseaume@fleckens.hu,154,"5' 1"""
male,Marshall,Aubin,11/29/1974,"87 rue Pierre Motte",MarshallAubin@gustr.com,184,"6' 0"""
male,Desire,Auclair,7/22/1988,"84 rue Charles Corbeau",DesireAuclair@dayrep.com,183,"6' 0"""
female,Fabienne,Gagné,7/28/1974,"23 rue Marie de Médicis",FabienneGagne@einrot.com,154,"5' 1"""
female,France,Saurel,7/12/1979,"81 avenue de Bouvines",FranceSaurel@armyspy.com,156,"5' 1"""
female,Rosamonde,Croquetaigne,1/25/1943,"96 avenue Ferdinand de Lesseps",RosamondeCroquetaigne@rhyta.com,157,"5' 2"""
male,Byron,Voisine,10/5/1961,"4 Rue de Verdun",ByronVoisine@einrot.com,184,"6' 0"""
male,Artus,Trudeau,4/18/1996,"31 Place de la Gare",ArtusTrudeau@cuvox.de,186,"6' 1"""
female,Clementine,Dumont,1/19/1993,"20 Avenue des Pr'es",ClementineDumont@armyspy.com,161,"5' 3"""
female,Villette,Gilbert,12/20/1953,"25 Rue Marie De Médicis",VilletteGilbert@gustr.com,160,"5' 3"""
male,Mandel,Gaillard,4/9/1965,"97 Rue Joseph Vernet",MandelGaillard@einrot.com,188,"6' 2"""
female,Aceline,Morneau,10/21/1962,"49 cours Jean Jaures",AcelineMorneau@armyspy.com,156,"5' 1"""
female,Laurence,Bourassa,3/6/1957,"30 rue du Fossé des Tanneurs",LaurenceBourassa@cuvox.de,157,"5' 2"""
female,Adèle,Guilmette,5/18/1995,"94 rue des Soeurs",AdeleGuilmette@armyspy.com,152,"5' 0"""
female,Nicole,Lacroix,1/11/1975,"6 Boulevard de Normandie",NicoleLacroix@fleckens.hu,156,"5' 1"""
male,Ogier,Beauchamps,5/2/1976,"87 rue des Coudriers",OgierBeauchamps@armyspy.com,188,"6' 2"""
female,Emmanuelle,Fremont,9/17/1986,"59 Avenue Millies Lacroix",EmmanuelleFremont@einrot.com,156,"5' 1"""
female,Xavierre,Neufville,8/20/1974,"70 Avenue Millies Lacroix",XavierreNeufville@armyspy.com,156,"5' 1"""
female,Élodie,Leclerc,1/18/2001,"71 rue de la République",ElodieLeclerc@teleworm.us,158,"5' 2"""
male,Théodore,Latourelle,4/18/1997,"80 boulevard Albin Durand",TheodoreLatourelle@einrot.com,189,"6' 2"""
female,Stéphanie,Bellemare,9/16/1992,"77 rue Adolphe Wurtz",StephanieBellemare@fleckens.hu,156,"5' 1"""
male,Roland,L'Angelier,11/17/1957,"50 Chemin Des Bateliers",RolandLAngelier@teleworm.us,187,"6' 2"""
female,Julienne,Chaussée,5/23/1942,"78 rue Cazade",JulienneChaussee@einrot.com,156,"5' 1"""
male,René,Richard,6/8/1979,"26 rue des Nations Unies",ReneRichard@jourrapide.com,188,"6' 2"""
male,Brice,Robillard,9/15/1967,"26 rue Léon Dierx",BriceRobillard@fleckens.hu,188,"6' 2"""
female,Dominique,Arcouet,7/11/1968,"37 rue du Château",DominiqueArcouet@fleckens.hu,155,"5' 1"""
male,Medoro,Jetté,10/25/1982,"20 avenue Ferdinand de Lesseps",MedoroJette@fleckens.hu,189,"6' 2"""
male,Pryor,Beausoleil,3/18/1961,"62 cours Jean Jaures",PryorBeausoleil@dayrep.com,184,"6' 0"""
female,Clémence,Quessy,3/6/1977,"90 Rue de Strasbourg",ClemenceQuessy@superrito.com,155,"5' 1"""
male,Auriville,Parrot,9/3/1993,"18 avenue Ferdinand de Lesseps",AurivilleParrot@fleckens.hu,184,"6' 0"""
male,Hugues,Moquin,8/18/1950,"14 rue Pierre Motte",HuguesMoquin@einrot.com,183,"6' 0"""
male,Alain,Chaloux,9/14/1943,"43 rue Goya",AlainChaloux@gustr.com,183,"6' 0"""
male,Armand,Lamoureux,11/22/1948,"42 rue des Nations Unies",ArmandLamoureux@einrot.com,166,"5' 5"""
female,Aimée,Hébert,11/19/1972,"20 Cours Marechal-Joffre",AimeeHebert@jourrapide.com,155,"5' 1"""
female,Renée,Querry,3/20/1959,"50 Cours Marechal-Joffre",ReneeQuerry@gustr.com,161,"5' 3"""
female,Melusina,Mazuret,4/9/1975,"43 rue Grande Fusterie",MelusinaMazuret@armyspy.com,161,"5' 3"""
female,Josephe,Gosselin,12/24/1953,"46 rue de Raymond Poincaré",JosepheGosselin@teleworm.us,154,"5' 1"""
female,Merci,Denis,8/11/1992,"66 boulevard de Prague",MerciDenis@rhyta.com,157,"5' 2"""
female,Cécile,Beaulieu,10/17/1935,"71 rue Descartes",CecileBeaulieu@cuvox.de,157,"5' 2"""
female,Gemma,Lamare,2/19/1932,"32 rue Cazade",GemmaLamare@fleckens.hu,158,"5' 2"""
female,Baptiste,Brian,2/10/1933,"96 rue Pierre De Coubertin",BaptisteBrian@rhyta.com,156,"5' 1"""
female,Mignonette,Larivière,12/15/1984,"47 rue des Coudriers",MignonetteLariviere@jourrapide.com,161,"5' 3"""
female,Armina,Camus,7/18/1976,"94 place Maurice-Charretier",ArminaCamus@cuvox.de,154,"5' 1"""
female,Victorine,Bureau,2/23/1950,"75 Faubourg Saint Honoré",VictorineBureau@superrito.com,157,"5' 2"""
female,Delit,Dostie,6/18/1972,"66 rue Pierre De Coubertin",DelitDostie@cuvox.de,158,"5' 2"""
female,Brie,L'Heureux,12/5/1970,"83 rue des six frères Ruellan",BrieLHeureux@rhyta.com,166,"5' 5"""
female,Monique,Michaud,6/21/1940,"15 rue de la Hulotais",MoniqueMichaud@jourrapide.com,161,"5' 3"""
male,Alexis,Dastous,7/12/1981,"48 Rue du Limas",AlexisDastous@jourrapide.com,189,"6' 2"""
male,Donat,Vallée,7/5/1939,"53 rue Sébastopol",DonatVallee@cuvox.de,183,"6' 0"""
female,Jolie,Lacasse,3/17/1998,"82 rue du Président Roosevelt",JolieLacasse@rhyta.com,166,"5' 5"""
male,Isaac,Houde,4/4/1999,"5 Rue de la Pompe",IsaacHoude@dayrep.com,184,"6' 0"""
male,Agrican,Tachel,9/23/1936,"40 Rue Frédéric Chopin",AgricanTachel@cuvox.de,166,"5' 5"""
female,Emmeline,Bellefeuille,4/28/1966,"58 Avenue Millies Lacroix",EmmelineBellefeuille@gustr.com,153,"5' 0"""
male,Quennel,Ruest,11/6/1988,"79 Rue Marie De Médicis",QuennelRuest@fleckens.hu,189,"6' 2"""
male,Roland,Beauchamps,9/14/1982,"41 Quai des Belges",RolandBeauchamps@armyspy.com,185,"6' 1"""
female,Pénélope,Franchet,6/23/1951,"11 avenue du Marechal Juin",PenelopeFranchet@gustr.com,154,"5' 1"""
male,Dominic,Nadeau,12/8/1933,"45 avenue de Bouvines",DominicNadeau@gustr.com,183,"6' 0"""
male,Legget,Duranseau,10/22/1953,"69 rue Marguerite",LeggetDuranseau@rhyta.com,166,"5' 5"""
male,Serge,Senneville,6/5/1946,"59 rue Petite Fusterie",SergeSenneville@cuvox.de,166,"5' 5"""
female,Agate,David,9/16/1974,"57 rue du Fossé des Tanneurs",AgateDavid@einrot.com,160,"5' 3"""
female,Charlotte,Pouchard,8/31/1995,"44 Chemin des Bateliers",CharlottePouchard@superrito.com,158,"5' 2"""
female,Pénélope,Lespérance,12/8/1988,"61 rue Grande Fusterie",PenelopeLesperance@fleckens.hu,158,"5' 2"""
female,Alacoque,Hétu,12/16/1980,"86 rue Michel Ange",AlacoqueHetu@dayrep.com,161,"5' 3"""
male,Stéphane,Crête,2/6/1939,"92 Avenue De Marlioz",StephaneCrete@cuvox.de,182,"6' 0"""
female,Ermengardi,Drouin,4/7/1933,"35 Rue de Verdun",ErmengardiDrouin@teleworm.us,158,"5' 2"""
female,Hélène,Breton,12/31/1967,"49 rue de la Mare aux Carats",HeleneBreton@dayrep.com,153,"5' 0"""
male,Vaden,Phaneuf,12/21/1941,"96 Rue du Palais",VadenPhaneuf@teleworm.us,182,"6' 0"""
male,Marmion,Aubé,1/22/1973,"99 rue Bonneterie",MarmionAube@einrot.com,186,"6' 1"""
female,Matilda,Charlesbois,3/22/1991,"52 avenue Voltaire",MatildaCharlesbois@cuvox.de,158,"5' 2"""
female,Agate,Croquetaigne,3/19/1942,"53 Chemin des Bateliers",AgateCroquetaigne@superrito.com,158,"5' 2"""
female,Prunella,Bellemare,8/10/1938,"94 rue de l'Aigle",PrunellaBellemare@jourrapide.com,152,"5' 0"""
female,Royale,Berthiaume,10/13/1987,"26 avenue de l'Amandier",RoyaleBerthiaume@einrot.com,156,"5' 1"""
female,Melusina,Beaupré,8/12/1962,"5 boulevard de la Liberation",MelusinaBeaupre@einrot.com,153,"5' 0"""
female,Fealty,Gauthier,6/10/1997,"21 rue Lenotre",FealtyGauthier@rhyta.com,158,"5' 2"""
female,Marthe,Labrosse,6/29/1989,"32 rue des Lacs",MartheLabrosse@rhyta.com,163,"5' 4"""
female,Olivie,Clément,10/20/1947,"82 rue Cazade",OlivieClement@cuvox.de,160,"5' 3"""
female,Laetitia,Rochefort,5/3/1935,"91 Chemin des Bateliers",LaetitiaRochefort@fleckens.hu,157,"5' 2"""
female,Fanchon,Bonneville,11/8/1959,"16 Rue du Limas",FanchonBonneville@teleworm.us,156,"5' 1"""
female,Victoire,CinqMars,4/1/1971,"57 rue de Penthièvre",VictoireCinqMars@armyspy.com,163,"5' 4"""
female,Armina,Tougas,8/6/1995,"30 rue Beauvau",ArminaTougas@fleckens.hu,153,"5' 0"""
male,Xavier,Dufresne,4/8/1959,"86 rue Banaudon",XavierDufresne@rhyta.com,182,"6' 0"""
female,Gallia,Allain,7/4/1943,"54 rue Petite Fusterie",GalliaAllain@armyspy.com,152,"5' 0"""
male,Octave,Chrétien,2/19/1977,"11 boulevard de Prague",OctaveChretien@jourrapide.com,187,"6' 2"""
female,Gallia,Lang,8/22/1946,"68 rue Pierre De Coubertin",GalliaLang@superrito.com,155,"5' 1"""
male,Harcourt,Boileau,5/9/1963,"24 rue Goya",HarcourtBoileau@armyspy.com,184,"6' 0"""
female,France,Landry,10/9/1950,"6 Rue du Limas",FranceLandry@superrito.com,163,"5' 4"""
male,Ansel,Chartré,1/30/1939,"26 rue des Coudriers",AnselChartre@armyspy.com,182,"6' 0"""
female,Sabine,Létourneau,9/14/1952,"98 rue des Nations Unies",SabineLetourneau@rhyta.com,155,"5' 1"""
female,Natalie,Lachapelle,5/8/1959,"82 rue Goya",NatalieLachapelle@fleckens.hu,152,"5' 0"""
female,Etoile,Desroches,10/6/1947,"13 rue Saint Germain",EtoileDesroches@superrito.com,152,"5' 0"""
male,Aubin,Croteau,8/6/1995,"1 Place Charles de Gaulle",AubinCroteau@fleckens.hu,163,"5' 4"""
male,Raoul,Tremblay,10/24/1966,"12 rue La Boétie",RaoulTremblay@jourrapide.com,182,"6' 0"""
female,Christiane,Fortier,7/31/1932,"56 Faubourg Saint Honoré",ChristianeFortier@dayrep.com,160,"5' 3"""
male,Claude,Doyon,10/30/1993,"49 rue Saint Germain",ClaudeDoyon@cuvox.de,186,"6' 1"""
male,Gaetan,Martineau,2/8/1934,"39 Chemin Du Lavarin Sud",GaetanMartineau@superrito.com,166,"5' 5"""
female,Slainie,Lacombe,5/3/1947,"24 boulevard Aristide Briand",SlainieLacombe@cuvox.de,154,"5' 1"""
female,Blondelle,Hétu,12/11/1962,"96 rue Clement Marot",BlondelleHetu@cuvox.de,157,"5' 2"""
female,Valérie,Gour,3/28/1944,"49 boulevard d'Alsace",ValerieGour@rhyta.com,154,"5' 1"""
male,Gradasso,Cailot,9/30/1936,"8 rue des Chaligny",GradassoCailot@armyspy.com,183,"6' 0"""
male,Pryor,Dastous,1/5/1968,"78 Avenue des Pr'es",PryorDastous@teleworm.us,188,"6' 2"""
female,Annette,Jodion,6/15/1983,"39 Square de la Couronne",AnnetteJodion@superrito.com,166,"5' 5"""
male,Travers,Metivier,1/22/1976,"59 quai Saint-Nicolas",TraversMetivier@gustr.com,182,"6' 0"""
female,Aurélie,Cloutier,10/4/1957,"81 avenue Jean Portalis",AurelieCloutier@superrito.com,158,"5' 2"""
female,Joanna,Landry,5/10/1969,"10 rue de la République",JoannaLandry@rhyta.com,156,"5' 1"""
female,Danielle,Sanschagrin,8/2/1982,"53 rue La Boétie",DanielleSanschagrin@gustr.com,158,"5' 2"""
male,Eliot,Marceau,10/7/1992,"5 rue Saint Germain",EliotMarceau@fleckens.hu,188,"6' 2"""
female,Felicienne,LaGarde,4/11/1940,"79 rue Petite Fusterie",FelicienneLaGarde@rhyta.com,152,"5' 0"""
female,Marguerite,Cousteau,9/9/1964,"87 avenue de Provence",MargueriteCousteau@gustr.com,156,"5' 1"""
female,Daisi,Moïse,10/23/1971,"23 rue Jean-Monnet",DaisiMoise@teleworm.us,155,"5' 1"""
female,Vedette,Gousse,9/2/1979,"13 rue du Faubourg National",VedetteGousse@dayrep.com,154,"5' 1"""
female,Damiane,Carignan,3/28/1956,"62 rue Pierre De Coubertin",DamianeCarignan@superrito.com,157,"5' 2"""
male,Zdenek,Rouleau,9/16/1958,"52 Rue Hubert de Lisle",ZdenekRouleau@armyspy.com,187,"6' 2"""
female,Clémence,Laisné,5/5/1984,"42 place Maurice-Charretier",ClemenceLaisne@cuvox.de,157,"5' 2"""
male,Patrick,Jobin,1/17/1993,"7 rue des Nations Unies",PatrickJobin@einrot.com,183,"6' 0"""
male,Jacques,Dastous,6/1/1983,"65 Rue Frédéric Chopin",JacquesDastous@dayrep.com,188,"6' 2"""
female,Auda,Devoe,10/30/1982,"56 boulevard de Prague",AudaDevoe@armyspy.com,166,"5' 5"""
female,Élise,St-Pierre,10/5/1998,"61 route de Lyon",EliseSt-Pierre@jourrapide.com,160,"5' 3"""
female,Xavierre,Quenneville,3/31/1978,"47 rue Sadi Carnot",XavierreQuenneville@fleckens.hu,160,"5' 3"""
female,Etoile,Gougeon,7/30/1992,"24 Chemin des Bateliers",EtoileGougeon@teleworm.us,160,"5' 3"""
male,Gustave,Couet,11/6/1962,"70 rue Sébastopol",GustaveCouet@cuvox.de,185,"6' 1"""
female,Creissant,Vaillancour,11/10/1956,"15 rue de Lille",CreissantVaillancour@dayrep.com,155,"5' 1"""
male,Normand,Garreau,8/22/1947,"46 rue de la Boétie",NormandGarreau@cuvox.de,185,"6' 1"""
female,Clementine,Chalifour,6/24/1960,"25 Rue Roussy",ClementineChalifour@fleckens.hu,163,"5' 4"""
female,Garland,"de Launay",3/19/1956,"58 Rue de Strasbourg",GarlanddeLaunay@armyspy.com,155,"5' 1"""
female,Matilda,Dubé,8/5/1931,"29 avenue Jules Ferry",MatildaDube@einrot.com,152,"5' 0"""
female,Germaine,Binet,3/6/1943,"65 rue Grande Fusterie",GermaineBinet@einrot.com,157,"5' 2"""
male,Yvon,Savard,5/23/1951,"64 Chemin des Bateliers",YvonSavard@dayrep.com,186,"6' 1"""
male,Victor,Breton,5/16/2000,"3 cours Jean Jaures",VictorBreton@gustr.com,184,"6' 0"""
female,Cinderella,Longpré,10/5/1949,"13 Quai des Belges",CinderellaLongpre@cuvox.de,154,"5' 1"""
female,Clementine,Leduc,10/13/1988,"8 rue Reine Elisabeth",ClementineLeduc@einrot.com,154,"5' 1"""
